Group Name,Role,Email,Status
Course 001 Group Name,student,astudent101@viaLT.com,active
Course 001 Group Name,student,astudent102@viaLT.com,active
Course 001 Group Name,student,astudent103@viaLT.com,active
Course 001 Group Name,student,astudent104@viaLT.com,active
Course 001 Group Name,student,astudent105@viaLT.com,active
Course 001 Group Name,student,astudent106@viaLT.com,active
Course 001 Group Name,student,astudent107@viaLT.com,active
Course 001 Group Name,student,astudent108@viaLT.com,active
Course 001 Group Name,student,astudent109@viaLT.com,active
Course 001 Group Name,student,astudent110@viaLT.com,active
Course 002 Group Name,student,astudent101@viaLT.com,active
Course 002 Group Name,student,astudent102@viaLT.com,active
Course 002 Group Name,student,astudent103@viaLT.com,active
Course 002 Group Name,student,astudent104@viaLT.com,active
Course 002 Group Name,student,astudent105@viaLT.com,active
FEM 001 Group Name,student,astudent101@viaLT.com,active
FEM 001 Group Name,student,astudent102@viaLT.com,active
FEM 001 Group Name,student,astudent103@viaLT.com,active
FEM 001 Group Name,student,astudent104@viaLT.com,active
FEM 001 Group Name,student,astudent105@viaLT.com,active
FEM 001 Group Name,student,astudent106@viaLT.com,active
FEM 001 Group Name,student,astudent107@viaLT.com,active
FEM 001 Group Name,student,astudent108@viaLT.com,active
FEM 001 Group Name,student,astudent109@viaLT.com,active
FEM 001 Group Name,student,astudent110@viaLT.com,active
FEM 002 Group Name,student,astudent101@viaLT.com,active
FEM 002 Group Name,student,astudent102@viaLT.com,active
FEM 002 Group Name,student,astudent103@viaLT.com,active
FEM 002 Group Name,student,astudent104@viaLT.com,active
FEM 002 Group Name,student,astudent105@viaLT.com,active
edTPA 001 Group Name,student,astudent101@viaLT.com,active
edTPA 001 Group Name,student,astudent102@viaLT.com,active
edTPA 001 Group Name,student,astudent103@viaLT.com,active
edTPA 001 Group Name,student,astudent104@viaLT.com,active
edTPA 001 Group Name,student,astudent105@viaLT.com,active
